SUMLEV,COUNTY,PLACE,PRIMGEO_FLAG,NAME,POPTYPE,YEAR,POPULATION
162,0,2080,0,Asheboro city,POPESTIMATE,2016,25884
162,0,2080,0,Asheboro city,POPESTIMATE,2017,25863
162,0,2140,0,Asheville city,CENSUSPOP,2010,83393
162,0,2140,0,Asheville city,ESTIMATESBASE,2010,83365
162,0,2140,0,Asheville city,POPESTIMATE,2010,83403
162,0,2140,0,Asheville city,POPESTIMATE,2011,84391
162,0,2140,0,Asheville city,POPESTIMATE,2012,85276
162,0,2140,0,Asheville city,POPESTIMATE,2013,86317
162,0,2140,0,Asheville city,POPESTIMATE,2014,87828
162,0,2140,0,Asheville city,POPESTIMATE,2015,89347
162,0,2140,0,Asheville city,POPESTIMATE,2016,91190
162,0,2140,0,Asheville city,POPESTIMATE,2017,91902
162,0,2320,0,Askewville town,CENSUSPOP,2010,241
162,0,2320,0,Askewville town,ESTIMATESBASE,2010,250
162,0,2320,0,Askewville town,POPESTIMATE,2010,250
162,0,2320,0,Askewville town,POPESTIMATE,2011,245
162,0,2320,0,Askewville town,POPESTIMATE,2012,241
162,0,2320,0,Askewville town,POPESTIMATE,2013,238
162,0,2320,0,Askewville town,POPESTIMATE,2014,235
162,0,2320,0,Askewville town,POPESTIMATE,2015,232
162,0,2320,0,Askewville town,POPESTIMATE,2016,227
162,0,2320,0,Askewville town,POPESTIMATE,2017,224
162,0,2460,0,Atkinson town,CENSUSPOP,2010,299
162,0,2460,0,Atkinson town,ESTIMATESBASE,2010,299
162,0,2460,0,Atkinson town,POPESTIMATE,2010,300
162,0,2460,0,Atkinson town,POPESTIMATE,2011,305
162,0,2460,0,Atkinson town,POPESTIMATE,2012,307
162,0,2460,0,Atkinson town,POPESTIMATE,2013,312
162,0,2460,0,Atkinson town,POPESTIMATE,2014,318
162,0,2460,0,Atkinson town,POPESTIMATE,2015,328
162,0,2460,0,Atkinson town,POPESTIMATE,2016,332
162,0,2460,0,Atkinson town,POPESTIMATE,2017,345
162,0,2500,0,Atlantic Beach town,CENSUSPOP,2010,1495
162,0,2500,0,Atlantic Beach town,ESTIMATESBASE,2010,1495
162,0,2500,0,Atlantic Beach town,POPESTIMATE,2010,1500
162,0,2500,0,Atlantic Beach town,POPESTIMATE,2011,1510
162,0,2500,0,Atlantic Beach town,POPESTIMATE,2012,1497
162,0,2500,0,Atlantic Beach town,POPESTIMATE,2013,1503
162,0,2500,0,Atlantic Beach town,POPESTIMATE,2014,1502
162,0,2500,0,Atlantic Beach town,POPESTIMATE,2015,1498
162,0,2500,0,Atlantic Beach town,POPESTIMATE,2016,1491
162,0,2500,0,Atlantic Beach town,POPESTIMATE,2017,1494
162,0,2580,0,Aulander town,CENSUSPOP,2010,895
162,0,2580,0,Aulander town,ESTIMATESBASE,2010,896
162,0,2580,0,Aulander town,POPESTIMATE,2010,896
162,0,2580,0,Aulander town,POPESTIMATE,2011,878
162,0,2580,0,Aulander town,POPESTIMATE,2012,865
162,0,2580,0,Aulander town,POPESTIMATE,2013,854
162,0,2580,0,Aulander town,POPESTIMATE,2014,839
162,0,2580,0,Aulander town,POPESTIMATE,2015,830
162,0,2580,0,Aulander town,POPESTIMATE,2016,813
162,0,2580,0,Aulander town,POPESTIMATE,2017,802
162,0,2620,0,Aurora town,CENSUSPOP,2010,520
162,0,2620,0,Aurora town,ESTIMATESBASE,2010,520
162,0,2620,0,Aurora town,POPESTIMATE,2010,520
162,0,2620,0,Aurora town,POPESTIMATE,2011,520
162,0,2620,0,Aurora town,POPESTIMATE,2012,517
162,0,2620,0,Aurora town,POPESTIMATE,2013,517
162,0,2620,0,Aurora town,POPESTIMATE,2014,516
162,0,2620,0,Aurora town,POPESTIMATE,2015,517
162,0,2620,0,Aurora town,POPESTIMATE,2016,514
162,0,2620,0,Aurora town,POPESTIMATE,2017,512
162,0,2700,0,Autryville town,CENSUSPOP,2010,196
162,0,2700,0,Autryville town,ESTIMATESBASE,2010,200
162,0,2700,0,Autryville town,POPESTIMATE,2010,200
162,0,2700,0,Autryville town,POPESTIMATE,2011,200
162,0,2700,0,Autryville town,POPESTIMATE,2012,201
162,0,2700,0,Autryville town,POPESTIMATE,2013,202
162,0,2700,0,Autryville town,POPESTIMATE,2014,202
162,0,2700,0,Autryville town,POPESTIMATE,2015,201
162,0,2700,0,Autryville town,POPESTIMATE,2016,198
162,0,2700,0,Autryville town,POPESTIMATE,2017,200
162,0,2840,0,Ayden town,CENSUSPOP,2010,4932
162,0,2840,0,Ayden town,ESTIMATESBASE,2010,5000
162,0,2840,0,Ayden town,POPESTIMATE,2010,5015
162,0,2840,0,Ayden town,POPESTIMATE,2011,5058
162,0,2840,0,Ayden town,POPESTIMATE,2012,5103
162,0,2840,0,Ayden town,POPESTIMATE,2013,5108
162,0,2840,0,Ayden town,POPESTIMATE,2014,5116
162,0,2840,0,Ayden town,POPESTIMATE,2015,5108
162,0,2840,0,Ayden town,POPESTIMATE,2016,5135
162,0,2840,0,Ayden town,POPESTIMATE,2017,5143
162,0,2960,0,Badin town,CENSUSPOP,2010,1974
